Team,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Arsenal,MAN(A),LEE(H),LIV(A),NOT(H),MAN(H),NEW(A),WES(H),FUL(A),CRY(H),BUR(A),SUN(A),SPU(H),CHE(A),BRE(H),AST(A),WOL(H),EVE(A),BRI(H),AST(H),BOU(A),LIV(H),NOT(A),MAN(H),LEE(A),SUN(H),BRE(A) + WOL(A),SPU(A),CHE(H),BRI(A),EVE(H),BGW,BOU(H),MAN(A),NEW(H),FUL(H),WES(A),BUR(H),CRY(A)
Aston Villa,NEW(H),BRE(A),CRY(H),EVE(A),SUN(A),FUL(H),BUR(H),SPU(A),MAN(H),LIV(A),BOU(H),LEE(A),WOL(H),BRI(A),ARS(H),WES(A),MAN(H),CHE(A),ARS(A),NOT(H),CRY(A),EVE(H),NEW(A),BRE(H),BOU(A),BRI(H),LEE(H),WOL(A),CHE(H),MAN(A),WES(H),NOT(A),SUN(H),FUL(A),SPU(H),BUR(A),LIV(H),MAN(A)
Bournemouth,LIV(A),WOL(H),SPU(A),BRI(H),NEW(H),LEE(A),FUL(H),CRY(A),NOT(H),MAN(A),AST(A),WES(H),SUN(A),EVE(H),CHE(H),MAN(A),BUR(H),BRE(A),CHE(A),ARS(H),SPU(H),BRI(A),LIV(H),WOL(A),AST(H),EVE(A),WES(A),SUN(H),BRE(H),BUR(A),MAN(H),ARS(A),NEW(A) + LEE(H),BGW,CRY(H),FUL(A),MAN(H),NOT(A)
Brentford,NOT(A),AST(H),SUN(A),CHE(H),FUL(A),MAN(H),MAN(H),WES(A),LIV(H),CRY(A),NEW(H),BRI(A),BUR(H),ARS(A),SPU(A),LEE(H),WOL(A),BOU(H),SPU(H),EVE(A),SUN(H),CHE(A),NOT(H),AST(A),NEW(A),ARS(H),BRI(H),BUR(A),BOU(A),WOL(H),LEE(A),EVE(H),FUL(H),MAN(A),WES(H),MAN(A),CRY(H),LIV(A)
Brighton,FUL(H),EVE(A),MAN(H),BOU(A),SPU(H),CHE(A),WOL(A),NEW(H),MAN(A),LEE(H),CRY(A),BRE(H),NOT(A),AST(H),WES(H),LIV(A),SUN(H),ARS(A),WES(A),BUR(H),MAN(A),BOU(H),FUL(A),EVE(H),CRY(H),AST(A),BRE(A),NOT(H),ARS(H),SUN(A),LIV(H),BUR(A),SPU(A) + CHE(H),BGW,NEW(A),WOL(H),LEE(A),MAN(H)
Burnley,SPU(A),SUN(H),MAN(A),LIV(H),NOT(H),MAN(A),AST(A),LEE(H),WOL(A),ARS(H),WES(A),CHE(H),BRE(A),CRY(H),NEW(A),FUL(H),BOU(A),EVE(H),NEW(H),BRI(A),MAN(H),LIV(A),SPU(H),SUN(A),WES(H),CRY(A),CHE(A),BRE(H),EVE(A),BOU(H),FUL(A),BRI(H),NOT(A) + MAN(H),BGW,LEE(A),AST(H),ARS(A),WOL(H)
Chelsea,CRY(H),WES(A),FUL(H),BRE(A),MAN(A),BRI(H),LIV(H),NOT(A),SUN(H),SPU(A),WOL(H),BUR(A),ARS(H),LEE(A),BOU(A),EVE(H),NEW(A),AST(H),BOU(H),MAN(A),FUL(A),BRE(H),CRY(A),WES(H),WOL(A),LEE(H),BUR(H),ARS(A),AST(A),NEW(H),EVE(A),MAN(H),MAN(H) + BRI(A),BGW,NOT(H),LIV(A),SPU(H),SUN(A)
Crystal Palace,CHE(A),NOT(H),AST(A),SUN(H),WES(A),LIV(H),EVE(A),BOU(H),ARS(A),BRE(H),BRI(H),WOL(A),MAN(H),BUR(A),FUL(A),MAN(H),LEE(A),SPU(H),FUL(H),NEW(A),AST(H),SUN(A),CHE(H),NOT(A),BRI(A),BUR(H),WOL(H),MAN(A),SPU(A),LEE(H),BGW,NEW(H),WES(H),LIV(A),BOU(A),EVE(H) + MAN(A),BRE(A),ARS(H)
Everton,LEE(A),BRI(H),WOL(A),AST(H),LIV(A),WES(H),CRY(H),MAN(A),SPU(H),SUN(A),FUL(H),MAN(A),NEW(H),BOU(A),NOT(H),CHE(A),ARS(H),BUR(A),NOT(A),BRE(H),WOL(H),AST(A),LEE(H),BRI(A),FUL(A),BOU(H),MAN(H),NEW(A),BUR(H),ARS(A),CHE(H),BRE(A),LIV(H),WES(A),MAN(H),CRY(A),SUN(H),SPU(A)
Fulham,BRI(A),MAN(H),CHE(A),LEE(H),BRE(H),AST(A),BOU(A),ARS(H),NEW(A),WOL(H),EVE(A),SUN(H),SPU(A),MAN(H),CRY(H),BUR(A),NOT(H),WES(A),CRY(A),LIV(H),CHE(H),LEE(A),BRI(H),MAN(A),EVE(H),MAN(A),SUN(A),SPU(H),WES(H),NOT(A),BUR(H),LIV(A),BRE(A),AST(H),ARS(A),BOU(H),WOL(A),NEW(H)
Leeds,EVE(H),ARS(A),NEW(H),FUL(A),WOL(A),BOU(H),SPU(H),BUR(A),WES(H),BRI(A),NOT(A),AST(H),MAN(A),CHE(H),LIV(H),BRE(A),CRY(H),SUN(A),LIV(A),MAN(H),NEW(A),FUL(H),EVE(A),ARS(H),NOT(H),CHE(A),AST(A),MAN(H),SUN(H),CRY(A),BRE(H),MAN(A),WOL(H) + BOU(A),BGW,BUR(H),SPU(A),BRI(H),WES(A)
Liverpool,BOU(H),NEW(A),ARS(H),BUR(A),EVE(H),CRY(A),CHE(A),MAN(H),BRE(A),AST(H),MAN(A),NOT(H),WES(A),SUN(H),LEE(A),BRI(H),SPU(A),WOL(H),LEE(H),FUL(A),ARS(A),BUR(H),BOU(A),NEW(H),MAN(H),SUN(A),NOT(A),WES(H),WOL(A),SPU(H),BRI(A),FUL(H),EVE(A),CRY(H),MAN(A),CHE(H),AST(A),BRE(H)
Man City,WOL(A),SPU(H),BRI(A),MAN(H),ARS(A),BUR(H),BRE(A),EVE(H),AST(A),BOU(H),LIV(H),NEW(A),LEE(H),FUL(A),SUN(H),CRY(A),WES(H),NOT(A),SUN(A),CHE(H),BRI(H),MAN(A),WOL(H),SPU(A),LIV(A),FUL(H),NEW(H),LEE(A),NOT(H),WES(A),BGW,CHE(A),ARS(H) + BUR(A),BGW,EVE(A),BRE(H) + CRY(H),BOU(A),AST(H)
Man Utd,ARS(H),FUL(A),BUR(H),MAN(A),CHE(H),BRE(A),SUN(H),LIV(A),BRI(H),NOT(A),SPU(A),EVE(H),CRY(A),WES(H),WOL(A),BOU(H),AST(A),NEW(H),WOL(H),LEE(A),BUR(A),MAN(H),ARS(A),FUL(H),SPU(H),WES(A),EVE(A),CRY(H),NEW(A),AST(H),BOU(A),LEE(H),CHE(A),BRE(H),LIV(H),SUN(A),NOT(H),BRI(A)
Newcastle,AST(A),LIV(H),LEE(A),WOL(H),BOU(A),ARS(H),NOT(H),BRI(A),FUL(H),WES(A),BRE(A),MAN(H),EVE(A),SPU(H),BUR(H),SUN(A),CHE(H),MAN(A),BUR(A),CRY(H),LEE(H),WOL(A),AST(H),LIV(A),BRE(H),SPU(A),MAN(A),EVE(H),MAN(H),CHE(A),SUN(H),CRY(A),BOU(H),ARS(A),BRI(H),NOT(A),WES(H),FUL(A)
Nott'm Forest,BRE(H),CRY(A),WES(H),ARS(A),BUR(A),SUN(H),NEW(A),CHE(H),BOU(A),MAN(H),LEE(H),LIV(A),BRI(H),WOL(A),EVE(A),SPU(H),FUL(A),MAN(H),EVE(H),AST(A),WES(A),ARS(H),BRE(A),CRY(H),LEE(A),WOL(H),LIV(H),BRI(A),MAN(A),FUL(H),SPU(A),AST(H),BUR(H),SUN(A),CHE(A),NEW(H),MAN(A),BOU(H)
Spurs,BUR(H),MAN(A),BOU(H),WES(A),BRI(A),WOL(H),LEE(A),AST(H),EVE(A),CHE(H),MAN(H),ARS(A),FUL(H),NEW(A),BRE(H),NOT(A),LIV(H),CRY(A),BRE(A),SUN(H),BOU(A),WES(H),BUR(A),MAN(H),MAN(A),NEW(H),ARS(H),FUL(A),CRY(H),LIV(A),NOT(H),SUN(A),BRI(H),WOL(A),AST(A),LEE(H),CHE(A),EVE(H)
Sunderland,WES(H),BUR(A),BRE(H),CRY(A),AST(H),NOT(A),MAN(A),WOL(H),CHE(A),EVE(H),ARS(H),FUL(A),BOU(H),LIV(A),MAN(A),NEW(H),BRI(A),LEE(H),MAN(H),SPU(A),BRE(A),CRY(H),WES(A),BUR(H),ARS(A),LIV(H),FUL(H),BOU(A),LEE(A),BRI(H),NEW(A),SPU(H),AST(A),NOT(H),WOL(A),MAN(H),EVE(A),CHE(H)
West Ham,SUN(A),CHE(H),NOT(A),SPU(H),CRY(H),EVE(A),ARS(A),BRE(H),LEE(A),NEW(H),BUR(H),BOU(A),LIV(H),MAN(A),BRI(A),AST(H),MAN(A),FUL(H),BRI(H),WOL(A),NOT(H),SPU(A),SUN(H),CHE(A),BUR(A),MAN(H),BOU(H),LIV(A),FUL(A),MAN(H),AST(A),WOL(H),CRY(A),EVE(H),BRE(A),ARS(H),NEW(A),LEE(H)
Wolves,MAN(H),BOU(A),EVE(H),NEW(A),LEE(H),SPU(A),BRI(H),SUN(A),BUR(H),FUL(A),CHE(A),CRY(H),AST(A),NOT(H),MAN(H),ARS(A),BRE(H),LIV(A),MAN(A),WES(H),EVE(A),NEW(H),MAN(A),BOU(H),CHE(H),NOT(A) + ARS(H),CRY(A),AST(H),LIV(H),BRE(A),BGW,WES(A),LEE(A),SPU(H),SUN(H),BRI(A),FUL(H),BUR(A)
